name,team,pos,age,gp,passYds,passTD,int,carries,rushYds,ypc,rushTD,targets,rec,recYds,ypr,recTD,pprPts
Najee Harris,LAC,RB,27,3,0,0,0,15,61,4.07,0,3,3,25,8.33,0,11.6
Malik Heath,GNB,WR,25,11,0,0,0,0,0,,0,7,6,86,14.33,0,14.6
Phil Mafah,DAL,RB,23,1,0,0,0,5,18,3.60,1,2,2,11,5.50,0,10.9
David Martin-Robinson,TEN,TE,26,17,0,0,0,0,0,,0,6,4,30,7.50,1,13.0
Ryan Miller,TAM,WR,25,13,0,0,0,0,0,,0,4,2,34,17.00,1,11.4
Andrew Ogletree,IND,TE,27,15,0,0,0,0,0,,0,6,4,27,6.75,1,12.7
Will Shipley,PHI,RB,23,15,0,0,0,14,49,3.50,0,12,9,56,6.22,0,17.5
Mason Tipton,NOR,WR,25,14,0,0,0,4,18,4.50,0,17,11,76,6.91,0,20.4
Casey Washington,ATL,WR,24,7,0,0,0,0,0,,0,14,6,94,15.67,0,15.4
Nick Westbrook-Ikhine,MIA,WR,28,15,0,0,0,0,0,,0,20,11,89,8.09,0,19.9
Trayveon Williams,2TM,RB,28,7,0,0,0,10,36,3.60,0,9,8,55,6.88,0,17.1
Ronnie Bell,NOR,WR,25,2,0,0,0,0,0,,0,4,2,23,11.50,1,10.3
British Brooks,HOU,RB,26,15,0,0,0,17,78,4.59,0,0,0,0,,0,7.8
Noah Brown,WAS,WR,29,4,0,0,0,0,0,,0,10,5,83,16.60,0,13.3
Josiah Deguara,ARI,TE,28,12,0,0,0,0,0,,0,5,3,21,7.00,1,11.1
Austin Ekeler,WAS,RB,30,2,0,0,0,14,43,3.07,0,7,5,38,7.60,0,13.1
Kaleb Johnson,PIT,RB,22,10,0,0,0,28,69,2.46,0,2,1,9,9.00,0,8.8
Kenny Pickett,LVR,QB,27,6,188,1,2,5,22,4.40,0,0,0,0,,0,7.7
Cade Stover,HOU,TE,25,9,0,0,0,4,3,0.75,0,16,12,76,6.33,0,19.9
Cam Akers,2TM,RB,26,6,32,1,0,5,19,3.80,0,1,0,0,,0,7.2
Devin Culp,TAM,TE,25,13,0,0,0,0,0,,0,1,1,6,6.00,1,7.6
Corey Kiner,ARI,RB,23,4,0,0,0,12,58,4.83,0,3,2,15,7.50,0,9.3
Ray-Ray McCloud,2TM,WR,29,6,0,0,0,0,0,,0,15,7,69,9.86,0,13.9
James Proche,TEN,WR,29,9,0,0,0,0,0,,0,12,6,65,10.83,0,12.5
Arian Smith,NYJ,WR,24,16,0,0,0,4,13,3.25,0,16,7,52,7.43,0,13.5
Xavier Weaver,ARI,WR,25,10,0,0,0,0,0,,0,13,7,67,9.57,0,13.7
Ty Chandler,MIN,RB,27,3,0,0,0,17,47,2.76,0,4,3,11,3.67,0,8.8
AJ Dillon,PHI,RB,27,7,0,0,0,12,60,5.00,0,3,3,21,7.00,0,9.1
Hassan Haskins,LAC,RB,26,12,0,0,0,17,47,2.76,0,4,4,13,3.25,0,10.0
Khalil Herbert,NYJ,RB,27,7,0,0,0,16,52,3.25,0,4,1,4,4.00,0,6.6
Alec Ingold,MIA,FB,29,17,0,0,0,2,9,4.50,0,11,8,52,6.50,0,14.1
Charlie Jones,CIN,WR,27,14,0,0,0,0,0,,0,1,0,0,,0,6.0
Scotty Miller,PIT,WR,28,13,0,0,0,0,0,,0,14,9,62,6.89,0,15.2
Foster Moreau,NOR,TE,28,11,0,0,0,0,0,,0,10,7,59,8.43,0,12.9
Zamir White,LVR,RB,26,6,0,0,0,12,32,2.67,0,6,4,24,6.00,0,9.6
Robbie Chosen,WAS,WR,32,3,0,0,0,0,0,,0,9,5,53,10.60,0,10.3
Brenden Bates,2TM,TE,26,9,0,0,0,0,0,,0,5,4,48,12.00,0,8.8
Tahj Brooks,CIN,RB,23,16,0,0,0,16,45,2.81,0,2,1,9,9.00,0,6.4
Anthony Firkser,DET,TE,30,7,0,0,0,0,0,,0,10,8,53,6.63,0,13.3
Evan Hull,NOR,RB,25,6,0,0,0,19,48,2.53,0,1,1,6,6.00,0,6.4
Mason Kinsey,TEN,WR,27,10,0,0,0,0,0,,0,4,2,48,24.00,0,6.8
Gage Larvadain,CLE,WR,23,13,0,0,0,1,3,3.00,0,14,7,71,10.14,0,12.4
Aidan O'Connell,LVR,QB,27,1,102,0,0,1,7,7.00,0,0,0,0,,0,4.8
Ronnie Rivers,LAR,RB,26,11,0,0,0,9,46,5.11,0,0,0,0,,0,4.6
Eric Saubert,SEA,TE,31,11,0,0,0,0,0,,0,7,4,31,7.75,0,9.1
Stone Smartt,NYJ,TE,27,15,0,0,0,0,0,,0,9,7,52,7.43,0,12.2
Austin Trammell,JAX,WR,27,6,0,0,0,0,0,,0,10,3,46,15.33,0,7.6
Charlie Woerner,ATL,TE,28,17,0,0,0,0,0,,0,9,8,48,6.00,0,12.8
Dareke Young,SEA,WR,26,9,0,0,0,0,0,,0,3,2,48,24.00,0,6.8
Braxton Berrios,HOU,WR,30,4,0,0,0,0,0,,0,8,6,37,6.17,0,9.7
Max Brosmer,MIN,QB,24,7,328,0,4,7,11,1.57,0,0,0,0,,0,4.2
Shane Buechele,KAN,QB,27,1,88,0,0,1,4,4.00,0,0,0,0,,0,3.9
Nathan Carter,ATL,RB,23,7,0,0,0,9,60,6.67,0,0,0,0,,0,4.0
Julius Chestnut,TEN,RB,25,17,0,0,0,11,40,3.64,0,2,0,0,,0,4.0
Dylan Drummond,ATL,WR,25,9,0,0,0,0,0,,0,11,7,42,6.00,0,11.2
D'Wayne Eskridge,MIA,WR,28,13,0,0,0,0,0,,0,7,4,62,15.50,0,8.2
Kylen Granson,PHI,TE,27,17,0,0,0,0,0,,0,9,7,40,5.71,0,11.0
Jalin Hyatt,NYG,WR,24,8,0,0,0,0,0,,0,14,5,35,7.00,0,8.5
Tom Kennedy,DET,WR,29,6,0,0,0,0,0,,0,4,4,36,9.00,0,7.6
Keleki Latu,BUF,TE,23,5,0,0,0,0,0,,0,4,4,35,8.75,0,7.5
Albert Okwuegbunam,LVR,TE,27,1,0,0,0,0,0,,0,6,5,36,7.20,0,8.6
Dameon Pierce,2TM,RB,25,5,0,0,0,14,36,2.57,0,1,0,0,,0,3.6
Xavier Restrepo,TEN,WR,23,2,0,0,0,0,0,,0,7,3,41,13.67,0,7.1
Cedrick Wilson Jr.,MIA,WR,30,10,0,0,0,0,0,,0,9,5,44,8.80,0,9.4
Tyson Bagent,CHI,QB,25,3,47,0,0,2,7,3.50,0,0,0,0,,0,2.6
Teddy Bridgewater,TAM,QB,33,4,62,0,0,3,4,1.33,0,0,0,0,,0,2.9
Jalen Brooks,2TM,WR,25,6,0,0,0,0,0,,0,6,3,51,17.00,0,6.1
Beaux Collins,NYG,WR,23,9,0,0,0,0,0,,0,6,2,25,12.50,0,4.5
Devin Duvernay,CHI,WR,28,17,0,0,0,0,0,,0,5,2,26,13.00,0,4.6
Tai Felton,MIN,WR,22,17,0,0,0,0,0,,0,3,3,25,8.33,0,5.5
Reggie Gilliam,BUF,FB,28,17,0,0,0,2,4,2.00,0,2,2,24,12.00,0,4.8
Tyler Goodson,IND,RB,25,11,0,0,0,9,24,2.67,0,3,2,8,4.00,0,5.2
KhaDarel Hodge,ATL,WR,30,12,0,0,0,0,0,,0,10,3,31,10.33,0,6.1
D'Ernest Johnson,2TM,RB,29,8,0,0,0,14,25,1.79,0,0,0,0,,0,2.5
Jacoby Jones,WAS,WR,24,1,0,0,0,0,0,,0,1,1,25,25.00,0,3.5
Velus Jones Jr.,2TM,WR,28,8,0,0,0,4,32,8.00,0,0,0,0,,0,3.2
Jonathan Mingo,DAL,WR,24,6,0,0,0,0,0,,0,5,1,25,25.00,0,3.5
James Mitchell,CAR,TE,26,5,0,0,0,0,0,,0,3,3,28,9.33,0,5.8
Nikko Remigio,KAN,WR,26,14,0,0,0,1,11,11.00,0,1,1,21,21.00,0,4.2
Ben Sims,2TM,TE,25,11,0,0,0,0,0,,0,6,3,30,10.00,0,6.0
Durham Smythe,CHI,TE,30,17,0,0,0,0,0,,0,6,4,25,6.25,0,6.5
Deven Thompkins,ATL,WR,26,7,0,0,0,1,5,5.00,0,3,3,27,9.00,0,6.2
Jordan Watkins,SFO,WR,23,4,0,0,0,0,0,,0,3,2,26,13.00,0,4.6
Justin Watson,HOU,WR,29,3,0,0,0,0,0,,0,4,3,30,10.00,0,6.0
Jake Bobo,SEA,WR,27,11,0,0,0,0,0,,0,2,2,20,10.00,0,4.0
Britain Covey,PHI,WR,28,6,0,0,0,0,0,,0,4,2,20,10.00,0,4.0
DeeJay Dallas,2TM,RB,27,6,0,0,0,3,21,7.00,0,1,0,0,,0,2.1
Joshua Dobbs,NWE,QB,30,4,65,0,0,10,-5,-0.50,0,0,0,0,,0,2.1
Clyde Edwards-Helaire,KAN,RB,26,2,0,0,0,7,13,1.86,0,2,2,9,4.50,0,4.2
Tucker Fisk,LAC,TE,26,10,0,0,0,0,0,,0,4,2,19,9.50,0,3.9
Roschon Johnson,CHI,RB,24,7,0,0,0,2,17,8.50,0,0,0,0,,0,1.7
Tim Jones,2TM,WR,27,4,0,0,0,0,0,,0,1,1,15,15.00,0,2.5
Jakobie Keeney-James,GNB,WR,25,1,0,0,0,0,0,,0,2,2,15,7.50,0,3.5
Lucas Krull,DEN,TE,27,3,0,0,0,0,0,,0,4,2,15,7.50,0,3.5
Will Mallory,IND,TE,26,2,0,0,0,0,0,,0,1,1,16,16.00,0,2.6
Tay Martin,WAS,WR,28,3,0,0,0,0,0,,0,2,2,23,11.50,0,4.3
Zaire Mitchell-Paden,2TM,TE,26,8,0,0,0,0,0,,0,3,2,17,8.50,0,3.7
David Moore,CAR,WR,30,4,0,0,0,1,12,12.00,0,1,1,5,5.00,0,2.7
Tip Reiman,ARI,TE,24,4,0,0,0,0,0,,0,5,3,18,6.00,0,4.8
Cooper Rush,BAL,QB,32,4,303,0,4,4,-4,-1.00,0,0,0,0,,0,1.7
Trent Sherfield,2TM,WR,29,12,0,0,0,0,0,,0,5,3,21,7.00,0,5.1
Clayton Tune,GNB,QB,26,2,42,0,1,5,23,4.60,0,0,0,0,,0,2.0
Tahj Washington,MIA,WR,24,6,0,0,0,0,0,,0,5,3,37,12.33,0,4.7
Jared Wayne,HOU,WR,25,1,0,0,0,0,0,,0,2,2,20,10.00,0,4.0
Jelani Woods,NYJ,TE,27,4,0,0,0,0,0,,0,3,1,4,4.00,0,3.4
Jacardia Wright,SEA,RB,25,1,0,0,0,5,20,4.00,0,0,0,0,,0,2.0
Colson Yankoff,WAS,TE,25,14,0,0,0,0,0,,0,3,2,18,9.00,0,3.8
Shane Zylstra,DET,TE,29,6,0,0,0,0,0,,0,5,3,20,6.67,0,5.0
